Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2023-04-01,Grikkland,23310,605,2755,19625,1710,816.6666666666666,0.4775828460038986
2023-05-01,Grikkland,23645,335,715,19525,2236.6666666666665,1259.4444444444443,0.5357137919661249
2023-06-01,Grikkland,24580,935,3235,17745,2763.3333333333335,1702.222222222222,0.5938447379283511
2023-07-01,Grikkland,25335,635,4000,18915,3290,2145,0.6519756838905775
2023-08-01,Grikkland,25735,405,6560,22110,4163.888888888889,2822.222222222222,0.6701546378648394
2023-09-01,Grikkland,26095,355,8300,24935,5037.777777777777,3499.444444444444,0.6883335918391015
2023-10-01,Grikkland,26435,340,10675,27170,5911.666666666667,4176.666666666667,0.7065125458133634
2023-11-01,Grikkland,26675,240,11040,30390,NA,NA,NA
2023-12-01,Grikkland,26850,175,6740,32660,NA,NA,NA
2024-01-01,Grikkland,27100,245,6555,31955,NA,NA,NA
2024-02-01,Grikkland,27295,200,NA,NA,NA,NA,NA
2022-03-01,Spánn,32985,32980,11290,106570,6456.11111111111,2391.111111111111,0.3684097889389092
2022-04-01,Spánn,83080,50095,7780,108500,6775,2630,0.38819188191881915
2022-05-01,Spánn,115805,32725,10325,112765,6707.777777777777,2691.111111111111,0.40145855008245823
2022-06-01,Spánn,127265,11460,10775,122340,6640.555555555556,2752.222222222222,0.4147252182460972
2022-07-01,Spánn,133725,6460,8850,116950,6573.333333333333,2813.3333333333335,0.4279918864097363
2022-08-01,Spánn,140005,6280,8785,119555,7092.222222222223,3177.777777777778,0.44550285935584166
2022-09-01,Spánn,145865,5860,11135,129705,7611.11111111111,3542.222222222222,0.46301383230194704
2022-10-01,Spánn,151020,5155,11065,132600,8130,3906.6666666666665,0.48052480524805247
2022-11-01,Spánn,156340,5310,11865,135305,8911.666666666666,4915,0.5409279661611254
2022-12-01,Spánn,161035,4695,8650,133250,9693.333333333334,5923.333333333333,0.6013311270741983
2023-01-01,Spánn,165455,4415,11020,131310,10475,6931.666666666667,0.6617342879872713
2023-02-01,Spánn,169010,3550,12985,139570,9925,6311.666666666667,0.6327205608929936
2023-03-01,Spánn,172705,3695,15765,133585,9375,5691.666666666667,0.6037068337987159
2023-04-01,Spánn,175230,2520,13110,144635,8825,5071.666666666667,0.5746931067044382
2023-05-01,Spánn,178085,2855,17595,144785,8239.444444444443,4611.111111111111,0.557144300170325
2023-06-01,Spánn,180285,2200,16265,153185,7653.88888888889,4150.555555555556,0.5395954936362117
2023-07-01,Spánn,182670,2385,12090,156825,7068.333333333333,3690,0.5220466871020986
2023-08-01,Spánn,184885,2215,12195,163515,5892.777777777777,3058.3333333333335,0.5169723012053206
2023-09-01,Spánn,187260,2375,13515,171075,4717.222222222223,2426.6666666666665,0.5118979153085427
2023-10-01,Spánn,190000,2740,12700,180770,3541.6666666666665,1795,0.5068235294117647
2023-11-01,Spánn,192720,2720,14250,194770,NA,NA,NA
2023-12-01,Spánn,194980,2255,10860,203140,NA,NA,NA
2024-01-01,Spánn,197810,2805,13865,213040,NA,NA,NA
2024-02-01,Spánn,200490,2670,13780,214545,NA,NA,NA
2022-03-01,Frakkland,27525,27550,10975,139540,11146.111111111111,2921.1111111111113,0.2618802620089065
2022-04-01,Frakkland,51255,23775,10735,138535,11411.666666666666,3035,0.26595589309186507
2022-05-01,Frakkland,59690,8590,11260,138680,11086.666666666666,3014.444444444445,0.2722682638711018
2022-06-01,Frakkland,64815,5245,12530,134785,10761.666666666666,2993.8888888888887,0.2785806346503385
2022-07-01,Frakkland,68570,3815,12240,132935,10436.666666666666,2973.3333333333335,0.28489300542957524
2022-08-01,Frakkland,72180,3655,13400,132635,10451.111111111111,2970.555555555555,0.2842352860624649
2022-09-01,Frakkland,67515,3630,14930,133985,10465.555555555557,2967.777777777778,0.2835775666953546
2022-10-01,Frakkland,65910,3250,15205,135335,10480,2965,0.28291984732824427
2022-11-01,Frakkland,67035,3005,15580,137570,10763.888888888889,3068.3333333333335,0.28495092827226876
2022-12-01,Frakkland,68430,2400,15475,141335,11047.77777777778,3171.6666666666665,0.2869820092162932
2023-01-01,Frakkland,69645,2115,15410,143890,11331.666666666666,3275,0.2890130901603177
2023-02-01,Frakkland,69890,1635,12180,143675,11186.666666666666,3248.3333333333335,0.29041170423862106
2023-03-01,Frakkland,67745,1655,13900,143655,11041.666666666666,3221.6666666666665,0.2918103183169245
2023-04-01,Frakkland,66760,1235,11805,142530,10896.666666666666,3195,0.2932089323952279
2023-05-01,Frakkland,66590,1245,12425,142225,10741.666666666666,3253.3333333333335,0.3031575552922971
2023-06-01,Frakkland,67280,1510,14205,141580,10586.666666666666,3311.6666666666665,0.3131061781893663
2023-07-01,Frakkland,67350,1385,11850,138725,10431.666666666666,3370,0.32305480108643553
2023-08-01,Frakkland,66930,1365,12750,138110,10541.111111111111,3358.3333333333335,0.3186846133636956
2023-09-01,Frakkland,64775,1395,14155,141255,10650.555555555557,3346.6666666666665,0.3143144256409556
2023-10-01,Frakkland,65300,1410,16260,142670,10760,3335,0.3099442379182156
2023-11-01,Frakkland,65175,1240,15515,144270,NA,NA,NA
2023-12-01,Frakkland,64930,985,12915,143830,NA,NA,NA
2024-01-01,Frakkland,64725,1070,13295,146880,NA,NA,NA
2024-02-01,Frakkland,64040,910,11650,NA,NA,NA,NA
2022-03-01,Króatía,4650,4650,390,855,10.555555555555555,3.3333333333333335,0.3238095238095238
2022-04-01,Króatía,10355,5750,330,990,11.666666666666666,3.3333333333333335,0.2857142857142857
2022-05-01,Króatía,13000,2680,365,1090,10,2.2222222222222223,0.19047619047619047
2022-06-01,Króatía,14760,1790,200,1090,8.333333333333334,1.1111111111111114,0.09523809523809523
2022-07-01,Króatía,16045,1305,185,1075,6.666666666666667,0,0
2022-08-01,Króatía,16810,805,155,1140,6.111111111111111,0.5555555555555555,0.1111111111111111
2022-09-01,Króatía,17475,705,110,1110,5.555555555555556,1.111111111111111,0.2222222222222222
2022-10-01,Króatía,17905,480,135,1085,5,1.6666666666666667,0.3333333333333333
2022-11-01,Króatía,18415,540,235,1210,6.111111111111111,1.6666666666666667,0.28888888888888886
2022-12-01,Króatía,18970,565,170,1255,7.222222222222221,1.6666666666666667,0.24444444444444446
2023-01-01,Króatía,19395,440,160,1215,8.333333333333334,1.6666666666666667,0.2
2023-02-01,Króatía,19925,555,165,1305,8.88888888888889,2.222222222222222,0.2444444444444444
2023-03-01,Króatía,19915,510,190,1450,9.444444444444445,2.7777777777777772,0.28888888888888886
2023-04-01,Króatía,20400,495,175,1495,10,3.3333333333333335,0.3333333333333333
2023-05-01,Króatía,21030,640,200,1485,10,3.888888888888889,0.38888888888888884
2023-06-01,Króatía,21640,635,95,1500,10,4.444444444444444,0.4444444444444444
2023-07-01,Króatía,22005,400,145,1515,10,5,0.5
2023-08-01,Króatía,22330,350,100,1590,12.777777777777777,5.555555555555556,0.4545454545454546
2023-09-01,Króatía,22485,210,105,1610,15.555555555555555,6.111111111111111,0.40909090909090917
2023-10-01,Króatía,22700,265,105,1610,18.333333333333332,6.666666666666667,0.36363636363636365
2023-11-01,Króatía,22900,235,190,1695,NA,NA,NA
2023-12-01,Króatía,23045,190,120,1620,NA,NA,NA
2024-01-01,Króatía,23180,170,50,1540,NA,NA,NA
2024-02-01,Króatía,23325,165,NA,NA,NA,NA,NA
2022-03-01,Ítalía,0,0,6370,47465,4402.777777777778,2162.777777777778,0.49048063097626815
2022-04-01,Ítalía,17270,17315,4830,51730,4326.666666666667,2028.3333333333333,0.4687981510015408
2022-05-01,Ítalía,54145,37325,6670,52805,4233.888888888889,1958.3333333333333,0.46225077776389256
